TERMS AND CONDITIONS,,,,,,,,,,,,,
https://www.bankofcanada.ca/terms/,,,,,,,,,,,,,
,,,,,,,,,,,,,
SERIES,,,,,,,,,,,,,
id,label,description,,,,,,,,,,,
FXCADUSD,CAD/USD,Canadian dollar to US dollar daily exchange rate,,,,,,,,,,,
,,,,,,,,,,,,,
OBSERVATIONS,,,,,,,,,,,,,
date,FXCADUSD,,2017,,,2018,,,2019,,,2020,
1/3/2017,0.7443,,January,0.758038095,,January,,,January,,,January,
1/4/2017,0.751,,February,0.762963158,,February,,,February,,,February,
1/5/2017,0.7551,,March,0.747034783,,March,,,March,,,March,
1/6/2017,0.7568,,April,0.744094737,,April,,,April,,,April,
1/9/2017,0.7553,,May,0.734954545,,May,,,May,,,May,
1/10/2017,0.7568,,June,0.752086364,,June,,,June,,,June,
1/11/2017,0.7547,,July,0.78825,,July,,,July,,,July,
1/12/2017,0.763,,August,0.793372727,,August,,,August,,,August,
1/13/2017,0.761,,September,0.8142,,September,,,September,,,September,
1/16/2017,0.7603,,October,0.793452381,,October,,,October,,,October,
1/17/2017,0.7659,,November,0.78317619,,November,,,November,,,November,
1/18/2017,0.7634,,December,0.783094737,,December,,,December,,,December,
1/19/2017,0.7517,,,,,,,,,,,,
1/20/2017,0.7487,,,,,,,,,,,,
1/23/2017,0.7524,,,,,,,,,,,,
1/24/2017,0.7591,,,,,,,,,,,,
1/25/2017,0.7641,,,,,,,,,,,,
1/26/2017,0.7632,,,,,,,,,,,,
1/27/2017,0.762,,,,,,,,,,,,
1/30/2017,0.7625,,,,,,,,,,,,
1/31/2017,0.7675,,,,,,,,,,,,
2/1/2017,0.7649,,,,,,,,,,,,
2/2/2017,0.7683,,,,,,,,,,,,
2/3/2017,0.7683,,,,,,,,,,,,
2/6/2017,0.7634,,,,,,,,,,,,
2/7/2017,0.7595,,,,,,,,,,,,
2/8/2017,0.7601,,,,,,,,,,,,
2/9/2017,0.7618,,,,,,,,,,,,
2/10/2017,0.7643,,,,,,,,,,,,
2/13/2017,0.7644,,,,,,,,,,,,
2/14/2017,0.7651,,,,,,,,,,,,
2/15/2017,0.7641,,,,,,,,,,,,
2/16/2017,0.766,,,,,,,,,,,,
2/17/2017,0.7632,,,,,,,,,,,,
2/21/2017,0.7606,,,,,,,,,,,,
2/22/2017,0.7587,,,,,,,,,,,,
2/23/2017,0.7628,,,,,,,,,,,,
2/24/2017,0.7637,,,,,,,,,,,,
2/27/2017,0.7623,,,,,,,,,,,,
2/28/2017,0.7548,,,,,,,,,,,,
3/1/2017,0.7497,,,,,,,,,,,,
3/2/2017,0.747,,,,,,,,,,,,
3/3/2017,0.746,,,,,,,,,,,,
3/6/2017,0.746,,,,,,,,,,,,
3/7/2017,0.7453,,,,,,,,,,,,
3/8/2017,0.7421,,,,,,,,,,,,
3/9/2017,0.74,,,,,,,,,,,,
3/10/2017,0.7427,,,,,,,,,,,,
3/13/2017,0.7437,,,,,,,,,,,,
3/14/2017,0.7416,,,,,,,,,,,,
3/15/2017,0.7447,,,,,,,,,,,,
3/16/2017,0.7508,,,,,,,,,,,,
3/17/2017,0.7498,,,,,,,,,,,,
3/20/2017,0.7486,,,,,,,,,,,,
3/21/2017,0.7509,,,,,,,,,,,,
3/22/2017,0.7485,,,,,,,,,,,,
3/23/2017,0.7499,,,,,,,,,,,,
3/24/2017,0.7477,,,,,,,,,,,,
3/27/2017,0.7478,,,,,,,,,,,,
3/28/2017,0.7477,,,,,,,,,,,,
3/29/2017,0.7483,,,,,,,,,,,,
3/30/2017,0.7517,,,,,,,,,,,,
3/31/2017,0.7513,,,,,,,,,,,,
4/3/2017,0.7472,,,,,,,,,,,,
4/4/2017,0.7449,,,,,,,,,,,,
4/5/2017,0.7458,,,,,,,,,,,,
4/6/2017,0.7453,,,,,,,,,,,,
4/7/2017,0.7465,,,,,,,,,,,,
4/10/2017,0.7491,,,,,,,,,,,,
4/11/2017,0.7501,,,,,,,,,,,,
4/12/2017,0.7519,,,,,,,,,,,,
4/13/2017,0.7533,,,,,,,,,,,,
4/17/2017,0.7525,,,,,,,,,,,,
4/18/2017,0.7476,,,,,,,,,,,,
4/19/2017,0.7429,,,,,,,,,,,,
4/20/2017,0.7417,,,,,,,,,,,,
4/21/2017,0.7404,,,,,,,,,,,,
4/24/2017,0.7412,,,,,,,,,,,,
4/25/2017,0.7357,,,,,,,,,,,,
4/26/2017,0.7357,,,,,,,,,,,,
4/27/2017,0.734,,,,,,,,,,,,
4/28/2017,0.732,,,,,,,,,,,,
5/1/2017,0.7321,,,,,,,,,,,,
5/2/2017,0.7289,,,,,,,,,,,,
5/3/2017,0.7292,,,,,,,,,,,,
5/4/2017,0.7276,,,,,,,,,,,,
5/5/2017,0.7293,,,,,,,,,,,,
5/8/2017,0.7297,,,,,,,,,,,,
5/9/2017,0.7284,,,,,,,,,,,,
5/10/2017,0.7314,,,,,,,,,,,,
5/11/2017,0.7296,,,,,,,,,,,,
5/12/2017,0.7292,,,,,,,,,,,,
5/15/2017,0.7331,,,,,,,,,,,,
5/16/2017,0.7355,,,,,,,,,,,,
5/17/2017,0.7345,,,,,,,,,,,,
5/18/2017,0.7347,,,,,,,,,,,,
5/19/2017,0.7383,,,,,,,,,,,,
5/23/2017,0.7413,,,,,,,,,,,,
5/24/2017,0.7429,,,,,,,,,,,,
5/25/2017,0.7433,,,,,,,,,,,,
5/26/2017,0.7432,,,,,,,,,,,,
5/29/2017,0.7437,,,,,,,,,,,,
5/30/2017,0.7424,,,,,,,,,,,,
5/31/2017,0.7407,,,,,,,,,,,,
6/1/2017,0.7407,,,,,,,,,,,,
6/2/2017,0.7405,,,,,,,,,,,,
6/5/2017,0.7417,,,,,,,,,,,,
6/6/2017,0.7429,,,,,,,,,,,,
6/7/2017,0.7412,,,,,,,,,,,,
6/8/2017,0.7406,,,,,,,,,,,,
6/9/2017,0.7433,,,,,,,,,,,,
6/12/2017,0.7454,,,,,,,,,,,,
6/13/2017,0.7554,,,,,,,,,,,,
6/14/2017,0.7571,,,,,,,,,,,,
6/15/2017,0.7528,,,,,,,,,,,,
6/16/2017,0.7557,,,,,,,,,,,,
6/19/2017,0.7564,,,,,,,,,,,,
6/20/2017,0.7537,,,,,,,,,,,,
6/21/2017,0.7513,,,,,,,,,,,,
6/22/2017,0.7552,,,,,,,,,,,,
6/23/2017,0.7537,,,,,,,,,,,,
6/26/2017,0.7554,,,,,,,,,,,,
6/27/2017,0.7583,,,,,,,,,,,,
6/28/2017,0.7657,,,,,,,,,,,,
6/29/2017,0.7683,,,,,,,,,,,,
6/30/2017,0.7706,,,,,,,,,,,,
7/4/2017,0.7727,,,,,,,,,,,,
7/5/2017,0.7703,,,,,,,,,,,,
7/6/2017,0.7724,,,,,,,,,,,,
7/7/2017,0.776,,,,,,,,,,,,
7/10/2017,0.7759,,,,,,,,,,,,
7/11/2017,0.774,,,,,,,,,,,,
7/12/2017,0.7816,,,,,,,,,,,,
7/13/2017,0.7847,,,,,,,,,,,,
7/14/2017,0.7891,,,,,,,,,,,,
7/17/2017,0.7893,,,,,,,,,,,,
7/18/2017,0.7919,,,,,,,,,,,,
7/19/2017,0.794,,,,,,,,,,,,
7/20/2017,0.7946,,,,,,,,,,,,
7/21/2017,0.7969,,,,,,,,,,,,
7/24/2017,0.7992,,,,,,,,,,,,
7/25/2017,0.7996,,,,,,,,,,,,
7/26/2017,0.7997,,,,,,,,,,,,
7/27/2017,0.7987,,,,,,,,,,,,
7/28/2017,0.8034,,,,,,,,,,,,
7/31/2017,0.801,,,,,,,,,,,,
8/1/2017,0.7991,,,,,,,,,,,,
8/2/2017,0.7962,,,,,,,,,,,,
8/3/2017,0.795,,,,,,,,,,,,
8/4/2017,0.7913,,,,,,,,,,,,
8/8/2017,0.7891,,,,,,,,,,,,
8/9/2017,0.7871,,,,,,,,,,,,
8/10/2017,0.7867,,,,,,,,,,,,
8/11/2017,0.7883,,,,,,,,,,,,
8/14/2017,0.7871,,,,,,,,,,,,
8/15/2017,0.784,,,,,,,,,,,,
8/16/2017,0.7875,,,,,,,,,,,,
8/17/2017,0.7907,,,,,,,,,,,,
8/18/2017,0.7945,,,,,,,,,,,,
8/21/2017,0.7952,,,,,,,,,,,,
8/22/2017,0.7967,,,,,,,,,,,,
8/23/2017,0.7959,,,,,,,,,,,,
8/24/2017,0.7981,,,,,,,,,,,,
8/25/2017,0.8005,,,,,,,,,,,,
8/28/2017,0.8012,,,,,,,,,,,,
8/29/2017,0.799,,,,,,,,,,,,
8/30/2017,0.7933,,,,,,,,,,,,
8/31/2017,0.7977,,,,,,,,,,,,
9/1/2017,0.8071,,,,,,,,,,,,
9/5/2017,0.8083,,,,,,,,,,,,
9/6/2017,0.8154,,,,,,,,,,,,
9/7/2017,0.8232,,,,,,,,,,,,
9/8/2017,0.8243,,,,,,,,,,,,
9/11/2017,0.8245,,,,,,,,,,,,
9/12/2017,0.8224,,,,,,,,,,,,
9/13/2017,0.8205,,,,,,,,,,,,
9/14/2017,0.8198,,,,,,,,,,,,
